model,data_num,iter,side_effect,test_fold,auc,tn,fp,fn,tp,cutoff point
MLP,400,4,side_effect_4,1,0.7505700591000046,199,48,34,53,0.18
MLP,400,4,side_effect_4,2,0.6414595452141725,157,87,24,38,0.33
MLP,400,4,side_effect_4,3,0.7323943661971831,155,112,14,57,0.1
MLP,400,4,side_effect_4,4,0.6839457799428147,161,105,22,49,0.19
MLP,400,5,side_effect_4,0,0.690646511000135,171,68,40,53,0.15
MLP,400,5,side_effect_4,1,0.6726858798571946,193,58,34,43,0.27
MLP,400,5,side_effect_4,2,0.7085400425230334,191,58,27,41,0.17
MLP,400,5,side_effect_4,3,0.4850176912870412,0,266,0,68,0.0
MLP,400,5,side_effect_4,4,0.7017338689174759,207,70,29,42,0.14
MLP,400,6,side_effect_4,0,0.6895124716553289,130,122,18,52,0.02
MLP,400,6,side_effect_4,1,0.6767125908916952,199,69,35,43,0.08
MLP,400,6,side_effect_4,2,0.6349411426930807,156,87,35,51,0.06
MLP,400,6,side_effect_4,3,0.6454378774805868,184,60,38,38,0.09
MLP,400,6,side_effect_4,4,0.6667028493894165,144,131,16,51,0.17
MLP,400,7,side_effect_4,0,0.6860169905282688,170,96,26,51,0.12
MLP,400,7,side_effect_4,1,0.7295546558704453,165,82,17,48,0.17
MLP,400,7,side_effect_4,2,0.6341938883034772,187,73,32,41,0.08
MLP,400,7,side_effect_4,3,0.6580994640696134,172,87,27,40,0.08
MLP,400,7,side_effect_4,4,0.6957052631578947,199,51,44,51,0.36
MLP,400,8,side_effect_4,0,0.6736,135,115,20,60,0.04
MLP,400,8,side_effect_4,1,0.6870780195048762,179,69,32,54,0.14
MLP,400,8,side_effect_4,2,0.7203687445127304,170,102,13,54,0.14
MLP,400,8,side_effect_4,3,0.69146110056926,163,92,19,43,0.09
MLP,400,8,side_effect_4,4,0.7171396033026478,196,61,32,50,0.18
MLP,400,9,side_effect_4,0,0.6399596875787352,167,78,33,48,0.32
MLP,400,9,side_effect_4,1,0.7316909975669099,165,109,13,47,0.14
MLP,400,9,side_effect_4,2,0.7321842176137894,166,69,26,53,0.12
MLP,400,9,side_effect_4,3,0.7285764428621571,156,103,18,59,0.05
MLP,400,9,side_effect_4,4,0.695957249070632,212,57,35,45,0.36
RF,360,0,side_effect_4,0,0.7569129704129958,225,44,29,44,0.32
RF,360,0,side_effect_4,1,0.7370324053936494,155,87,21,55,0.22
RF,360,0,side_effect_4,2,0.7637110016420362,208,53,28,42,0.29
RF,360,0,side_effect_4,3,0.7351270957274203,197,61,34,52,0.28
RF,360,0,side_effect_4,4,0.7833994708994709,148,104,9,63,0.19
RF,360,1,side_effect_4,0,0.7716767154751651,218,25,42,44,0.4
RF,360,1,side_effect_4,1,0.726121794871795,186,74,24,48,0.22
RF,360,1,side_effect_4,2,0.7648467432950192,189,72,17,43,0.25
RF,360,1,side_effect_4,3,0.8051626197371352,239,29,25,42,0.3
RF,360,1,side_effect_4,4,0.7393478260869566,219,31,47,45,0.38
RF,360,2,side_effect_4,0,0.726023166023166,195,64,29,46,0.32
RF,360,2,side_effect_4,1,0.7841147269718698,207,52,20,50,0.27
RF,360,2,side_effect_4,2,0.7215740740740739,196,74,25,55,0.3
RF,360,2,side_effect_4,3,0.7884383561643835,212,38,28,45,0.33
RF,360,2,side_effect_4,4,0.7872224527910355,175,69,24,55,0.28
RF,360,3,side_effect_4,0,0.845293941511129,178,55,18,68,0.28
RF,360,3,side_effect_4,1,0.7245128565689032,168,94,24,52,0.19
RF,360,3,side_effect_4,2,0.7596994957291344,185,61,30,49,0.25
RF,360,3,side_effect_4,3,0.715203054494967,195,63,27,40,0.28
RF,360,3,side_effect_4,4,0.7895222000307267,216,67,19,50,0.31
RF,360,4,side_effect_4,0,0.7354986522911052,153,112,12,58,0.15
RF,360,4,side_effect_4,1,0.6974029680365297,162,78,22,51,0.25
RF,360,4,side_effect_4,2,0.7081163947703344,140,118,14,53,0.22
RF,360,4,side_effect_4,3,0.7659629368988976,204,41,37,50,0.28
RF,360,4,side_effect_4,4,0.7942974452554745,237,37,31,49,0.32
RF,360,5,side_effect_4,0,0.7686311592721324,224,44,28,45,0.32
RF,360,5,side_effect_4,1,0.7618294033866118,194,73,22,49,0.26
RF,360,5,side_effect_4,2,0.7992153170119272,201,69,15,44,0.26
RF,360,5,side_effect_4,3,0.7404295051353875,176,62,28,53,0.26
RF,360,5,side_effect_4,4,0.7934719035407387,170,69,22,71,0.22
RF,360,6,side_effect_4,0,0.7889921496190256,191,53,19,52,0.3
RF,360,6,side_effect_4,1,0.741882708280896,181,93,17,41,0.2
RF,360,6,side_effect_4,2,0.7745967741935483,181,67,26,69,0.24
RF,360,6,side_effect_4,3,0.7106978879706152,185,57,40,50,0.27
RF,360,6,side_effect_4,4,0.7097671185262426,209,65,30,33,0.29
RF,360,7,side_effect_4,0,0.8016147118187935,200,45,26,65,0.3
RF,360,7,side_effect_4,1,0.8184615384615385,190,60,15,50,0.27
RF,360,7,side_effect_4,2,0.6582887170335118,156,90,31,51,0.23
RF,360,7,side_effect_4,3,0.786917063036466,201,72,18,49,0.27
RF,360,7,side_effect_4,4,0.7781923714759535,176,92,15,57,0.25
RF,360,8,side_effect_4,0,0.793304443359375,173,83,16,48,0.24
RF,360,8,side_effect_4,1,0.833981085632854,199,50,23,70,0.35
RF,360,8,side_effect_4,2,0.7235691380818191,157,94,23,59,0.21
RF,360,8,side_effect_4,3,0.799802559912854,177,95,10,44,0.15
RF,360,8,side_effect_4,4,0.7517341582302213,171,83,22,62,0.24
RF,360,9,side_effect_4,0,0.7729174030870745,194,52,23,46,0.25
RF,360,9,side_effect_4,1,0.8105534511784511,219,45,23,49,0.36
RF,360,9,side_effect_4,2,0.7446487867177521,192,69,28,47,0.25
RF,360,9,side_effect_4,3,0.7304597430709143,173,96,18,61,0.24
RF,360,9,side_effect_4,4,0.7099375125982665,182,60,35,47,0.31
LR,360,0,side_effect_4,0,0.7893536121673005,153,110,9,61,0.12
LR,360,0,side_effect_4,1,0.7603709394205443,214,54,23,45,0.23
LR,360,0,side_effect_4,2,0.7343056436271401,129,118,12,71,0.16
LR,360,0,side_effect_4,3,0.7414606422279056,209,46,29,40,0.31
LR,360,0,side_effect_4,4,0.6915016387388636,193,56,35,52,0.22
LR,360,1,side_effect_4,0,0.7106518282988871,94,161,5,69,0.1
LR,360,1,side_effect_4,1,0.7436399217221135,205,47,29,44,0.29
LR,360,1,side_effect_4,2,0.6813287016934433,108,127,17,81,0.07
LR,360,1,side_effect_4,3,0.6702428006775832,194,59,27,36,0.22
LR,360,1,side_effect_4,4,0.7589759127404938,218,69,24,45,0.23
LR,360,2,side_effect_4,0,0.7041237113402062,143,77,31,66,0.19
LR,360,2,side_effect_4,1,0.6839394576413707,143,125,18,53,0.19
LR,360,2,side_effect_4,2,0.7772727272727273,196,74,18,48,0.2
LR,360,2,side_effect_4,3,0.6976030569708198,169,85,23,45,0.22
LR,360,2,side_effect_4,4,0.7386172839506173,189,81,26,49,0.22
LR,360,3,side_effect_4,0,0.8064476436569459,225,33,25,38,0.33
LR,360,3,side_effect_4,1,0.8153354247104246,179,80,10,54,0.2
LR,360,3,side_effect_4,2,0.6733989901514773,194,47,43,40,0.3
LR,360,3,side_effect_4,3,0.7438148788927337,216,56,34,51,0.22
LR,360,3,side_effect_4,4,0.7414343786295005,208,44,35,47,0.29
LR,360,4,side_effect_4,0,0.7372043010752688,184,64,23,52,0.21
LR,360,4,side_effect_4,1,0.733301360306941,191,53,39,55,0.26
LR,360,4,side_effect_4,2,0.787921434253197,239,38,23,36,0.32
LR,360,4,side_effect_4,3,0.7046511627906977,149,81,27,59,0.19
LR,360,4,side_effect_4,4,0.6311627124347972,192,91,26,37,0.26
LR,360,5,side_effect_4,0,0.7605824784813112,166,91,14,52,0.19
LR,360,5,side_effect_4,1,0.781110029211295,225,35,33,46,0.36
LR,360,5,side_effect_4,2,0.6940104166666667,208,48,40,41,0.3
LR,360,5,side_effect_4,3,0.706956417624521,170,91,19,45,0.13
LR,360,5,side_effect_4,4,0.6883574341861327,182,66,35,52,0.21
LR,360,6,side_effect_4,0,0.7144379058441559,163,93,22,55,0.18
LR,360,6,side_effect_4,1,0.802318128405085,192,61,18,56,0.24
LR,360,6,side_effect_4,2,0.7134232954545455,192,64,28,38,0.21
LR,360,6,side_effect_4,3,0.7277992277992278,166,93,19,61,0.19
LR,360,6,side_effect_4,4,0.7198643410852713,169,89,23,57,0.17
LR,360,7,side_effect_4,0,0.7431793770139635,154,91,17,59,0.17
LR,360,7,side_effect_4,1,0.7330434347978207,200,47,34,47,0.29
LR,360,7,side_effect_4,2,0.7282618847482955,220,29,43,43,0.38
LR,360,7,side_effect_4,3,0.7079484425349087,179,87,24,46,0.19
LR,360,7,side_effect_4,4,0.740909090909091,235,40,28,36,0.3
LR,360,8,side_effect_4,0,0.7644078144078145,212,40,25,40,0.28
LR,360,8,side_effect_4,1,0.781363903586126,215,55,20,43,0.24
LR,360,8,side_effect_4,2,0.7140822140822141,178,38,45,46,0.31
LR,360,8,side_effect_4,3,0.6974935177182368,212,55,31,47,0.23
LR,360,8,side_effect_4,4,0.7138086642599277,166,111,19,61,0.15
