model,data_num,iter,side_effect,test_fold,auc,,acc,,precision,,recall,,tn,fp,fn,tp,cutoff point
MLP,400,1,side_effect_1,0,0.63202735,,0.743362832,,0.379746835,,0.441176471,,222,49,38,30,0.21
MLP,400,1,side_effect_1,1,0.678301093,,0.605797101,,0.265060241,,0.75862069,,165,122,14,44,0.11
MLP,400,1,side_effect_1,2,0.632375479,,0.598130841,,0.271523179,,0.683333333,,151,110,19,41,0.1
MLP,400,1,side_effect_1,3,0.715315934,,0.699367089,,0.324324324,,0.642857143,,185,75,20,36,0.14
MLP,400,1,side_effect_1,4,0.705878915,,0.707100592,,0.336283186,,0.612903226,,201,75,24,38,0.24
MLP,400,2,side_effect_1,0,0.673282967,,0.655063291,,0.291338583,,0.660714286,,170,90,19,37,0.21
MLP,400,2,side_effect_1,1,0.70050274,,0.816860465,,0.5,,0.492063492,,250,31,32,31,0.67
MLP,400,2,side_effect_1,2,0.591806661,,0.791411043,,0.2,,0.015384615,,257,4,64,1,0.01
MLP,400,2,side_effect_1,3,0.660934744,,0.577160494,,0.30994152,,0.736111111,,134,118,19,53,0.06
MLP,400,2,side_effect_1,4,0.655938538,,0.653295129,,0.233576642,,0.666666667,,196,105,16,32,0.05
MLP,400,3,side_effect_1,0,0.6196337,,0.591331269,,0.219178082,,0.64,,159,114,18,32,0.03
MLP,400,3,side_effect_1,1,0.713297931,,0.70694864,,0.377192982,,0.623188406,,191,71,26,43,0.13
MLP,400,3,side_effect_1,2,0.715406699,,0.722891566,,0.342342342,,0.666666667,,202,73,19,38,0.13
MLP,400,3,side_effect_1,3,0.674852862,,0.71810089,,0.378640777,,0.557142857,,203,64,31,39,0.23
MLP,400,3,side_effect_1,4,0.59445547,,0.633928571,,0.248062016,,0.551724138,,181,97,26,32,0.04
MLP,400,4,side_effect_1,0,0.627585378,,0.71559633,,0.321428571,,0.428571429,,207,57,36,27,0.21
MLP,400,4,side_effect_1,1,0.576859504,,0.768025078,,0.31372549,,0.290909091,,229,35,39,16,0.04
MLP,400,4,side_effect_1,2,0.54893617,,0.791925466,,0.282608696,,0.276595745,,242,33,34,13,0.5
MLP,400,4,side_effect_1,3,0.690860359,,0.769886364,,0.233333333,,0.107692308,,264,23,58,7,0.01
MLP,400,4,side_effect_1,4,0.685721571,,0.651917404,,0.347222222,,0.675675676,,171,94,24,50,0.08
MLP,400,5,side_effect_1,0,0.580771885,,0.795321637,,0.333333333,,0.014492754,,271,2,68,1,0.78
MLP,400,5,side_effect_1,1,0.682765152,,0.6625,,0.286885246,,0.625,,177,87,21,35,0.14
MLP,400,5,side_effect_1,2,0.683304127,,0.792993631,,0.6,,0.089552239,,243,4,61,6,0.01
MLP,400,5,side_effect_1,3,0.575698455,,0.680351906,,0.182692308,,0.441860465,,213,85,24,19,0.15
MLP,400,5,side_effect_1,4,0.665658013,,0.564327485,,0.284946237,,0.768115942,,140,133,16,53,0.06
MLP,400,6,side_effect_1,0,0.723239437,,0.711246201,,0.268518519,,0.644444444,,205,79,16,29,0.16
MLP,400,6,side_effect_1,1,0.701547495,,0.606508876,,0.337209302,,0.753246753,,147,114,19,58,0.11
MLP,400,6,side_effect_1,2,0.69255211,,0.727002967,,0.323529412,,0.589285714,,212,69,23,33,0.14
MLP,400,6,side_effect_1,3,0.671139495,,0.71875,,0.293478261,,0.519230769,,203,65,25,27,0.12
MLP,400,6,side_effect_1,4,0.674018846,,0.710447761,,0.373626374,,0.459459459,,204,57,40,34,0.11
MLP,400,7,side_effect_1,0,0.682493657,,0.762917933,,0.397435897,,0.5,,220,47,31,31,0.14
MLP,400,7,side_effect_1,1,0.658770161,,0.787172012,,0.421052632,,0.375,,246,33,40,24,0.44
MLP,400,7,side_effect_1,2,0.644744961,,0.47740113,,0.244541485,,0.823529412,,113,173,12,56,0.02
MLP,400,7,side_effect_1,3,0.704375753,,0.730769231,,0.309278351,,0.638297872,,198,67,17,30,0.23
MLP,400,7,side_effect_1,4,0.548418851,,0.196261682,,0.196261682,,1,,0,258,0,63,0
MLP,400,8,side_effect_1,0,0.659587848,,0.738505747,,0.424242424,,0.552631579,,215,57,34,42,0.22
MLP,400,8,side_effect_1,1,0.638534897,,0.651515152,,0.196721311,,0.585365854,,191,98,17,24,0.06
MLP,400,8,side_effect_1,2,0.75004569,,0.775641026,,0.482352941,,0.611940299,,201,44,26,41,0.27
